id,internal_name,name,region_id
1,canalave-city,Canalave City,4
2,eterna-city,Eterna City,4
3,pastoria-city,Pastoria City,4
4,sunyshore-city,Sunyshore City,4
5,sinnoh-pokemon-league,Pokémon League,4
6,oreburgh-mine,Oreburgh Mine,4
7,valley-windworks,Valley Windworks,4
8,eterna-forest,Eterna Forest,4
9,fuego-ironworks,Fuego Ironworks,4
10,mt-coronet,Mt. Coronet,4
11,great-marsh,Great Marsh,4
12,solaceon-ruins,Solaceon Ruins,4
13,sinnoh-victory-road,Victory Road,4
14,ravaged-path,Ravaged Path,4
15,oreburgh-gate,Oreburgh Gate,4
16,stark-mountain,Stark Mountain,4
17,spring-path,Spring Path,4
18,turnback-cave,Turnback Cave,4
19,snowpoint-temple,Snowpoint Temple,4
20,wayward-cave,Wayward Cave,4
22,ruin-maniac-cave,Ruin Maniac Cave,4
23,trophy-garden,Trophy Garden,4
24,iron-island,Iron Island,4
25,old-chateau,Old Chateau,4
26,lake-verity,Lake Verity,4
27,lake-valor,Lake Valor,4
28,lake-acuity,Lake Acuity,4
29,valor-lakefront,Valor Lakefront,4
30,acuity-lakefront,Acuity Lakefront,4
31,sinnoh-route-201,Route 201,4
32,sinnoh-route-202,Route 202,4
33,sinnoh-route-203,Route 203,4
34,sinnoh-route-204,Route 204,4
35,sinnoh-route-205,Route 205,4
36,sinnoh-route-206,Route 206,4
37,sinnoh-route-207,Route 207,4
38,sinnoh-route-208,Route 208,4
39,sinnoh-route-209,Route 209,4
40,lost-tower,Lost Tower,4
41,sinnoh-route-210,Route 210,4
42,sinnoh-route-211,Route 211,4
43,sinnoh-route-212,Route 212,4
44,sinnoh-route-213,Route 213,4
45,sinnoh-route-214,Route 214,4
46,sinnoh-route-215,Route 215,4
47,sinnoh-route-216,Route 216,4
48,sinnoh-route-217,Route 217,4
49,sinnoh-route-218,Route 218,4
50,sinnoh-route-219,Route 219,4
51,sinnoh-route-221,Route 221,4
52,sinnoh-route-222,Route 222,4
53,sinnoh-route-224,Route 224,4
54,sinnoh-route-225,Route 225,4
55,sinnoh-route-227,Route 227,4
56,sinnoh-route-228,Route 228,4
57,sinnoh-route-229,Route 229,4
58,twinleaf-town,Twinleaf Town,4
59,celestic-town,Celestic Town,4
60,resort-area,Resort Area,4
61,sinnoh-sea-route-220,Sea Route 220,4
62,sinnoh-sea-route-223,Sea Route 223,4
63,sinnoh-sea-route-226,Sea Route 226,4
64,sinnoh-sea-route-230,Sea Route 230,4
65,blackthorn-city,Blackthorn City,2
66,burned-tower,Burned Tower,2
67,celadon-city,Celadon City,1
68,cerulean-city,Cerulean City,1
69,cherrygrove-city,Cherrygrove City,2
70,cianwood-city,Cianwood City,2
71,cinnabar-island,Cinnabar Island,1
72,dark-cave,Dark Cave,2
73,digletts-cave,Diglett's Cave,1
74,dragons-den,Dragon's Den,2
75,ecruteak-city,Ecruteak City,2
76,fuchsia-city,Fuchsia City,1
77,ice-path,Ice Path,2
78,ilex-forest,Ilex Forest,2
79,lake-of-rage,Lake of Rage,2
80,mt-moon,Mt. Moon,1
81,mt-mortar,Mt. Mortar,2
82,mt-silver,Mt. Silver,2
83,national-park,National Park,2
84,new-bark-town,New Bark Town,2
85,olivine-city,Olivine City,2
86,pallet-town,Pallet Town,1
87,rock-tunnel,Rock Tunnel,1
88,kanto-route-1,Route 1,1
89,kanto-route-10,Route 10,1
90,kanto-route-11,Route 11,1
91,kanto-route-12,Route 12,1
92,kanto-route-13,Route 13,1
93,kanto-route-14,Route 14,1
94,kanto-route-15,Route 15,1
95,kanto-route-16,Route 16,1
96,kanto-route-17,Route 17,1
97,kanto-route-18,Route 18,1
98,kanto-sea-route-19,Sea Route 19,1
99,kanto-route-2,Route 2,1
100,kanto-sea-route-20,Sea Route 20,1
101,kanto-sea-route-21,Sea Route 21,1
102,kanto-route-22,Route 22,1
103,kanto-route-24,Route 24,1
104,kanto-route-25,Route 25,1
105,kanto-route-26,Route 26,1
106,kanto-route-27,Route 27,1
107,kanto-route-28,Route 28,1
108,johto-route-29,Route 29,2
109,kanto-route-3,Route 3,1
110,johto-route-30,Route 30,2
111,johto-route-31,Route 31,2
112,johto-route-32,Route 32,2
113,johto-route-33,Route 33,2
114,johto-route-34,Route 34,2
115,johto-route-35,Route 35,2
116,johto-route-36,Route 36,2
117,johto-route-37,Route 37,2
118,johto-route-38,Route 38,2
119,johto-route-39,Route 39,2
