pokemon_form_id,type_id,slot
1,12,1
1,4,2
2,12,1
2,4,2
3,12,1
3,4,2
4,10,1
5,10,1
6,10,1
6,3,2
7,11,1
8,11,1
9,11,1
10,7,1
11,7,1
12,7,1
12,3,2
13,7,1
13,4,2
14,7,1
14,4,2
15,7,1
15,4,2
16,1,1
16,3,2
17,1,1
17,3,2
18,1,1
18,3,2
19,1,1
20,1,1
21,1,1
21,3,2
22,1,1
22,3,2
23,4,1
24,4,1
25,13,1
26,13,1
27,5,1
28,5,1
29,4,1
30,4,1
31,4,1
31,5,2
32,4,1
33,4,1
34,4,1
34,5,2
35,18,1
36,18,1
37,10,1
38,10,1
39,1,1
39,18,2
40,1,1
40,18,2
41,4,1
41,3,2
42,4,1
42,3,2
43,12,1
43,4,2
44,12,1
44,4,2
45,12,1
45,4,2
46,7,1
46,12,2
47,7,1
47,12,2
48,7,1
48,4,2
49,7,1
49,4,2
50,5,1
51,5,1
52,1,1
53,1,1
54,11,1
55,11,1
56,2,1
57,2,1
58,10,1
59,10,1
60,11,1
61,11,1
62,11,1
62,2,2
63,14,1
64,14,1
65,14,1
66,2,1
67,2,1
68,2,1
69,12,1
69,4,2
70,12,1
70,4,2
71,12,1
71,4,2
72,11,1
72,4,2
73,11,1
73,4,2
74,6,1
74,5,2
75,6,1
75,5,2
76,6,1
76,5,2
77,10,1
78,10,1
79,11,1
79,14,2
80,11,1
80,14,2
81,13,1
81,9,2
82,13,1
82,9,2
83,1,1
83,3,2
84,1,1
84,3,2
85,1,1
85,3,2
86,11,1
87,11,1
87,15,2
88,4,1
89,4,1
90,11,1
91,11,1
91,15,2
92,8,1
92,4,2
93,8,1
93,4,2
94,8,1
94,4,2
95,6,1
95,5,2
96,14,1
97,14,1
98,11,1
99,11,1
100,13,1
101,13,1
102,12,1
102,14,2
103,12,1
103,14,2
104,5,1
105,5,1
106,2,1
107,2,1
108,1,1
109,4,1
110,4,1
111,5,1
111,6,2
112,5,1
112,6,2
113,1,1
114,12,1
115,1,1
116,11,1
117,11,1
118,11,1
119,11,1
120,11,1
121,11,1
121,14,2
122,14,1
122,18,2
123,7,1
123,3,2
124,15,1
124,14,2
125,13,1
126,10,1
127,7,1
128,1,1
129,11,1
130,11,1
130,3,2
131,11,1
131,15,2
132,1,1
133,1,1
134,11,1
135,13,1
136,10,1
137,1,1
138,6,1
138,11,2
139,6,1
139,11,2
140,6,1
140,11,2
141,6,1
141,11,2
142,6,1
142,3,2
143,1,1
144,15,1
144,3,2
145,13,1
145,3,2
146,10,1
146,3,2
147,16,1
148,16,1
149,16,1
149,3,2
150,14,1
151,14,1
152,12,1
153,12,1
154,12,1
155,10,1
156,10,1
157,10,1
158,11,1
159,11,1
160,11,1
161,1,1
162,1,1
163,1,1
163,3,2
164,1,1
164,3,2
165,7,1
165,3,2
166,7,1
166,3,2
167,7,1
167,4,2
168,7,1
168,4,2
169,4,1
169,3,2
170,11,1
170,13,2
171,11,1
171,13,2
172,13,1
173,18,1
174,1,1
174,18,2
175,18,1
176,18,1
176,3,2
177,14,1
177,3,2
178,14,1
178,3,2
179,13,1
180,13,1
181,13,1
182,12,1
183,11,1
183,18,2
184,11,1
184,18,2
185,6,1
186,11,1
187,12,1
187,3,2
188,12,1
188,3,2
189,12,1
189,3,2
190,1,1
191,12,1
192,12,1
193,7,1
193,3,2
194,11,1
194,5,2
195,11,1
195,5,2
